provider,model,run,generation_time
openai,gpt-5-mini,1,4.0969
openai,gpt-5-mini,2,2.7974
openai,gpt-5-mini,3,4.0927
openai,gpt-4o-mini,1,1.749
openai,gpt-4o-mini,2,1.7011
openai,gpt-4o-mini,3,1.7596
openai,gpt-4o,1,1.691
openai,gpt-4o,2,1.5964
openai,gpt-4o,3,1.8016
anthropic,claude-sonnet-4-20250514,1,3.9306
anthropic,claude-sonnet-4-20250514,2,4.4085
anthropic,claude-sonnet-4-20250514,3,3.8317
anthropic,claude-3-7-sonnet-20250219,1,3.2607
anthropic,claude-3-7-sonnet-20250219,2,3.4639
anthropic,claude-3-7-sonnet-20250219,3,2.3809
gemini,gemini-2.5-flash,1,1.3258
gemini,gemini-2.5-flash,2,1.3875
gemini,gemini-2.5-flash,3,1.2679
groq,llama-3.3-70b-versatile,1,0.3852
groq,llama-3.3-70b-versatile,2,0.5119
groq,llama-3.3-70b-versatile,3,0.5213
deepseek,deepseek-chat,1,6.2835
deepseek,deepseek-chat,2,6.101
deepseek,deepseek-chat,3,6.7188
