vectorstore,k,run,retrieval_time,docs_retrieved
faiss,1,1,0.0,1
faiss,1,2,0.0151,1
faiss,1,3,0.0156,1
faiss,3,1,0.021,3
faiss,3,2,0.0109,3
faiss,3,3,0.0,3
faiss,5,1,0.0157,5
faiss,5,2,0.0139,5
faiss,5,3,0.0026,5
faiss,10,1,0.0,10
faiss,10,2,0.015,10
faiss,10,3,0.0156,10
faiss,200,1,0.0053,51
faiss,200,2,0.0134,51
faiss,200,3,0.009,51
chroma,1,1,0.0068,1
chroma,1,2,0.0137,1
chroma,1,3,0.0,1
chroma,3,1,0.0072,3
chroma,3,2,0.0152,3
chroma,3,3,0.0,3
chroma,5,1,0.0164,5
chroma,5,2,0.0005,5
chroma,5,3,0.0204,5
chroma,10,1,0.0,10
chroma,10,2,0.0257,10
chroma,10,3,0.0066,10
chroma,200,1,0.0124,51
chroma,200,2,0.0075,51
chroma,200,3,0.0112,51
pinecone,1,1,0.3113,1
pinecone,1,2,0.3175,1
pinecone,1,3,0.3266,1
pinecone,3,1,0.3229,3
pinecone,3,2,0.3523,3
pinecone,3,3,0.3029,3
pinecone,5,1,0.2796,5
pinecone,5,2,0.3331,5
pinecone,5,3,0.3103,5
pinecone,10,1,0.3081,10
pinecone,10,2,0.3443,10
pinecone,10,3,0.3242,10
pinecone,200,1,0.6607,200
pinecone,200,2,0.6608,200
pinecone,200,3,0.5716,200
weaviate,1,1,0.0152,1
weaviate,1,2,0.0038,1
weaviate,1,3,0.0121,1
weaviate,3,1,0.0065,3
weaviate,3,2,0.0157,3
weaviate,3,3,0.0,3
weaviate,5,1,0.0157,5
weaviate,5,2,0.0192,5
weaviate,5,3,0.0128,5
weaviate,10,1,0.0154,10
weaviate,10,2,0.0156,10
weaviate,10,3,0.0211,10
weaviate,200,1,0.0254,200
weaviate,200,2,0.0204,200
weaviate,200,3,0.0191,200
